Reg_id,Gender,Age,Construction,New Construction,Elevator,Floors,Floor_area,Rooms,Bathrooms,Ceiling_height,Floor,Balcony,Furnished,Renovation,Children Welcome,Pets Allowed,Utility Payments,Address,Price,Currency,Duration,Date,Amenities,Appliances,Parking,Index,EXCLUDED_ID,REASON,Monthly USD Price
1,Male,60,stone,True,False,5.0,89.0,3.0,2.0,3.0,2.0,open_balcony,,designer_renovation,1.0,0.0,1.0,"Abovyan street, Yerevan",95.0,USD,daily,2023-01-07,,,,A277,277,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,784.671070949452
1,Female,44,monolith,True,True,17.0,45.0,2.0,1.0,3.0,4.0,open_balcony,,designer_renovation,1.0,0.0,1.0,"Buzand St, Yerevan",38000.0,AMD,daily,2023-01-07,,,,A280,280,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1333.9408206140683
1,Female,32,monolith,True,True,13.0,140.0,4.0,2.0,3.0,4.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,"Mesrop Mashtots Avenue, Yerevan",2400.0,USD,monthly,2023-01-07,,,,A281,281,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,2040.1447844685752
1,Female,52,monolith,True,True,10.0,200.0,4.0,2.0,3.0,8.0,open_balcony,,designer_renovation,1.0,1.0,0.0,"Northern Avenue, Yerevan",3300.0,USD,monthly,2023-01-07,,,,A284,284,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1020.0723922342876
1,Male,37,monolith,True,True,11.0,125.0,3.0,2.0,3.0,10.0,0,1,designer_renovation,1.0,0.0,0.0,"Saryan Street, Yerevan",3500.0,USD,monthly,2023-01-07,,,,A287,287,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1177.006606424178
1,Male,45,monolith,True,True,14.0,50.0,2.0,1.0,3.0,11.0,open_balcony,,designer_renovation,1.0,1.0,1.0,"Amiryan Street, Yerevan",38000.0,AMD,daily,2023-01-07,,,,A289,289,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,2354.013212848356
1,Female,58,panels,False,True,9.0,150.0,4.0,1.0,2.75,8.0,closed_balcony,1,euro_renovation,1.0,1.0,0.0,"Arno Babajanian Street, Երևան",240000.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet,_parking_space","fridge,_stove,_microwave,_washing_machine,_water_heater,_iron,_hair_dryer",outdoor_parking,A300,300,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1883.2105702786848
1,Male,25,stone,True,True,14.0,100.0,3.0,2.0,3.0,6.0,multiple_balconies,1,euro_renovation,2.0,2.0,2.0,"Улица Аргишти, Ереван",680000.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet","fridge,_stove,_microwave,_washing_machine,_water_heater,_iron,_hair_dryer",outdoor_parking,A310,310,Address was Missing; The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1020.0723922342876
1,Female,42,panels,False,True,9.0,50.0,1.0,1.0,2.75,4.0,closed_balcony,1,partial_renovation,1.0,0.0,0.0,"Առնո Բաբաջանյան փողոց, Երևան",160000.0,AMD,monthly,2023-01-07,television,"fridge,_washing_machine",,A311,311,Address was Missing; The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1961.67767737363
1,Male,66,monolith,False,True,16.0,55.0,2.0,1.0,3.2,4.0,open_balcony,1,euro_renovation,2.0,2.0,0.0,"Antarayin Street, Yerevan",1100.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet,_parking_space","fridge,_microwave,_coffee_maker,_washing_machine,_iron,_hair_dryer",outdoor_parking,A315,315,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1961.67767737363
1,Male,67,stone,False,False,6.0,28.0,1.0,1.0,2.75,4.0,0,partial_furniture,partial_renovation,1.0,0.0,2.0,"Սողոմոն Տարոնցի փողոց 3, Երևան",80000.0,AMD,monthly,2023-01-07,,,,A320,320,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1569.342141898904
1,Male,24,stone,False,False,4.0,60.0,2.0,1.0,2.7,4.0,closed_balcony,1,cosmetic_renovation,1.0,0.0,0.0,"Shinararneri street, Yerevan",160000.0,AMD,monthly,2023-01-07,,,,A325,325,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1177.006606424178
1,Male,29,stone,False,True,5.0,38.0,1.0,1.0,2.7,3.0,0,1,designer_renovation,1.0,0.0,1.0,"Komitas avenu, Երևան",17000.0,AMD,daily,2023-01-07,"television,_air_conditioner,_internet","fridge,_washing_machine,_water_heater,_iron,_hair_dryer",outdoor_parking,A329,329,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1569.342141898904
